narrative,product,response
recently sent lvnv funding llc letter disputing alleged debt saying owe asking validity alleged debt reporting also attached copy letter sending certified mail assist matter,debt_collection,We have received your letter disputing the alleged debt reported by LNVFunding LLC. Our records indicate that you have disputed the debt and are requesting verification of its validity. We will review this dispute internally to ensure that all necessary steps are taken to investigate the matter further. This includes verifying the accuracy of the information provided by LNVFunding LLC and ensuring that any reporting to credit bureaus is accurate and compliant with relevant regulations. Our team will also confirm receipt of your letter via certified mail as per your request. We will provide an update on our findings once the investigation is complete.
account open yet report closed stated falsely experian blame told update information every day lie contacted dispute responded fraudulent information lied said yes account closed,credit_reporting,"We are reviewing your complaint regarding the discrepancy between your account status and the credit report provided by Experian, which incorrectly stated that your account was closed. You had previously disputed this information with Experian and were told to update your account details daily, but you claim this was a lie and that your account was never actually closed. Our team will investigate this matter internally to determine why the incorrect information was reported and what steps can be taken to correct it. We will also look into the communication you received from Experian regarding updating your account information on a daily basis."
account account account belong mean person account reported account credit report account opened give authorization anyone else open account therefore account must deleted credit report,credit_reporting,"We understand that you're concerned about the unauthorized opening of an account and its impact on your credit report. You've mentioned that someone has been using your name to open multiple accounts, which has resulted in incorrect information being reported to the credit bureaus. We'll review this matter internally to determine how this occurred and take necessary steps to prevent similar incidents in the future. Our team will investigate the account activity, verify the authenticity of the accounts opened in your name, and work with the relevant credit reporting agencies to ensure that any inaccuracies are corrected as soon as possible."
paid charged account full kohl impression would removed completely credit changed charged paid completely remove account therefore still negatively effected credit score although owe anymore,debt_collection,"We understand that you're concerned about the impact on your credit score due to a previously charged account, which was later marked as paid in full and should have been removed from your record. Our team will review this situation internally to ensure that all necessary corrections were made regarding the Kohl's account. We'll investigate why it still appears to be negatively affecting your credit score despite being fully paid. We'll also verify that no further charges or fees were applied after the account was marked as paid in full. Once we've completed our review, you'll receive an update on any actions taken to resolve this issue and improve your credit report accuracy."
account open yet report closed stated falsely transunion blame told update information every day lie contacted dispute responded fraudulent information lied said yes account closed,credit_reporting,"We have received your complaint regarding the status of your credit report with TransUnion. According to your statement, you opened an account but were informed that it was closed, which contradicts the actual status of your account. You also mentioned that TransUnion initially blamed you for providing incorrect information and told you to update your details daily, despite this being untrue. Furthermore, you reported that when you contacted them to dispute the fraudulent information, they lied about having a record of your account being closed. We will review this matter internally to investigate the discrepancies in your credit report and the communication you received from TransUnion."
victim identity theft fraudulent account affected credit report attach supporting documentation support claim include federal trade commission report notarized statement support claim along proof identification,credit_reporting,"We acknowledge your concern regarding a potential case of identity theft that has affected your credit report. Our records indicate that you have submitted an attachment with supporting documentation, including a notarized statement and a Federal Trade Commission (FTC) report, which will be reviewed internally by our team. We will investigate the matter further to determine if any unauthorized accounts were opened in your name and assess how this incident has impacted your credit report. Our review process may take some time to complete, but we assure you that we are committed to thoroughly examining the evidence provided and taking necessary steps to resolve the issue as soon as possible."
process purchasing home would like auto finance inquiry removed report authorize company run credit except finance inquiry fraud would like removed soon possible regional acc,credit_reporting,"We understand that you're concerned about an unauthorized auto finance inquiry appearing on your credit report, which is affecting your ability to process a purchase for your home. You've mentioned that the inquiry is related to a company that doesn't seem to be associated with any of your financial dealings. Our team will review this matter internally and investigate why this inquiry was included in your credit report. We'll also look into why it wasn't flagged as potentially fraudulent earlier on."
comenity bank violation usc federally protected consumer right never received notice could dispute debt several statement phone call using profane obscene language see document attached,debt_collection,"We are reviewing your complaint regarding a potential violation of your federally protected consumer rights by Comenity Bank. You claim that you did not receive any notice to dispute the debt, despite receiving several statements. Additionally, you mention that during a phone call with the bank, you were subjected to profane and obscene language. We take these allegations seriously and will investigate this matter internally, including reviewing the document you have attached for further context. Our investigation will focus on verifying whether Comenity Bank complied with federal regulations regarding debt collection practices and whether your rights as a consumer were respected."
account still showing negative information credit report gone thru bankruptcy dispute three major credit bureau third party bureau information come back verify affecting move forward,credit_reporting,"We've received your concern regarding the negative information on your credit report. According to your account, you've already disputed this issue with the three major credit bureaus and a third-party bureau, but the information still appears on your report. You mentioned that this is impacting your ability to move forward with certain plans. Our support team will review your case internally to understand why the dispute resolution process hasn't yet resolved the issue. We'll investigate further to determine if there are any additional steps we can take to help resolve this matter and ensure that your credit report accurately reflects your current status."
sent several dispute credit bureau transunion yet respond provide result understand pandemic going still required provide result law reporting error credit file need respond dispute,credit_reporting,"We've received your concern regarding the status of your disputes with TransUnion. It appears that you've submitted multiple disputes to them, but haven't received a response or resolution on the errors in your credit report. You mentioned that these issues are ongoing despite the pandemic and that you're aware of laws requiring credit bureaus to respond within a certain timeframe. Our team will review this matter internally to understand the steps taken by TransUnion and how we can assist you further. We'll investigate why the disputes haven't been resolved yet and determine if any additional actions need to be taken on your behalf to correct the errors in your credit file."
notice alleged debt ncb management service owe sent letter asking information related alleged account received anything thus far asking validity debt along document support alleged debt,debt_collection,"We have taken note of your concern regarding a notice you received from NCB Management Service alleging an outstanding debt. You mentioned that they sent a letter requesting information about the alleged account and the validity of the debt, but you have not received any further communication on this matter. Our support team will review the documentation provided by NCB Management Service to verify the accuracy of the debt claim and ensure it aligns with our internal records. We will also investigate why no additional correspondence was sent after your initial inquiry about the alleged debt."
couple account credit report violate hippa law company letting happening without proper investigation requested please see attached dispute letter also move sending current address well id,credit_reporting,"We have received your complaint regarding the alleged violation of HIPAA laws in relation to a couple's account credit report. You have attached a dispute letter, which we will review internally to determine the validity of the claims made. Our team will investigate this matter further and examine whether proper procedures were followed in handling the credit report. We take all allegations of non-compliance with regulatory requirements seriously and will look into this incident thoroughly."
contacted experian look chapter bankruptcy given filed dispute believe bankruptcy court provide information experian said company reported information certified experian information court u bkpt ct mi,credit_reporting,"We've taken note of your concern regarding the Experian credit report, specifically the inclusion of a Chapter 7 bankruptcy filing in Michigan that you believe is inaccurate. You mentioned disputing this information with Experian and requesting clarification on how it was certified. Our team will review the details of your dispute and investigate how this information was reported to Experian. We'll also examine the certification process to ensure it meets the required standards. This internal review will help us determine if any further action is necessary to resolve the issue with your credit report."
equifax reporting following item inaccurately someone please look thank account never late never late mine inquiry unauthorized unauthorized unauthorized equifax unauthorized unauthorized unauthorized unauthorized unauthorized unauthorized,credit_reporting,"We've taken note of your concern regarding the inaccurate information reported by Equifax, specifically that an account associated with you has been marked as never late despite being listed as unauthorized multiple times. We will review this matter internally to investigate why this discrepancy exists and how it may have impacted your credit report. Our team will examine the relevant data to determine if any errors were made in reporting or processing. Once we've completed our investigation, we'll provide you with an update on the outcome and any necessary actions taken to correct the issue."
going problem issue financial problem capital one care nobody unprofessional bank happens bank hacked many time charging late fee crisis wish kohl select another consumer bank,debt_collection,"I'm reviewing your complaint regarding issues with Capital One and experiencing problems with late fees. It appears that you're concerned about the frequency of late charges being applied to your account, as well as difficulties in resolving these matters through their customer service channel, Capital One Care. I've noted that you mentioned feeling frustrated with the unprofessional nature of interactions with this bank. Our support team will review and investigate your concerns internally, including any potential issues related to unauthorized access or security breaches. We'll also examine the application of late fees in accordance with your account agreement."
trying dispute account experian saying say refusing look complaint even though provided necessary item needed prove asked proof identification requiring responded continue use way investigating complaint,credit_reporting,"We understand that you're experiencing difficulties with disputing an account on Experian. You've mentioned that they're requesting additional proof of identification, which you believe is unnecessary since you've already provided the required documentation. We'll review this matter internally to see if there's been a miscommunication or error in their handling of your complaint. Our team will investigate further to determine why they're continuing to request more information from you despite your previous responses. We'll also look into whether Experian is following proper procedures for verifying customer identities."
since sent multiple letter email requesting account removed home retention account still set home retention locked online mortgage banking due prior forbearance nothing done four month,mortgages_and_loans,"We've received your complaint regarding the issue with your home retention account. You've mentioned that despite sending multiple letters and emails, the account remains active and is still locked, which is causing inconvenience for you. We acknowledge that this situation has been ongoing for approximately four months, following a prior forbearance arrangement on your mortgage. Our team will review the correspondence you've sent to us and investigate why the necessary actions haven't been taken to remove the home retention account as requested. We'll also look into why the online banking system is still showing the account as locked."
im still waiting acre mortgage send appraisal requested appraisal still sent almost loss house missed mortgage commitment settlement date thing already sent written letter send everything,mortgages_and_loans,"We understand that you are still awaiting the appraisal for your Acre Mortgage and that it has not been received as requested. You have also mentioned that you had to miss a mortgage commitment deadline due to this delay, which may impact your settlement plans. We will review this matter internally to investigate why the appraisal was not sent on time and what caused the delay in receiving it. Our team will look into the status of the appraisal and confirm with the relevant parties involved to ensure that all necessary documents are processed promptly."
last report equifax single line statement reflected use report specifically authorized ever heard credit bureau since contacted directly cfpb purpose notification cfpb equifax held accountable action,credit_reporting,"We have taken note of your concern regarding the recent Equifax credit report, which inaccurately reflected a use report that was not authorized. You had previously contacted Equifax directly and were informed that they would take action to correct this issue. However, you are still concerned about the accuracy of the information reported by Equifax, particularly in light of your notification to the Consumer Financial Protection Bureau (CFPB) regarding the incident. Our team will review this matter internally to determine if any further investigation is necessary and what steps can be taken to ensure that your credit report accurately reflects authorized transactions."
summit ar continues attempt collect fashion debt attempting collect belong asked several time communicate attorney yet contacted day final attempt resolve matter matter escalated lawsuit filed yet,debt_collection,"We understand that Summit AR has been continuing to attempt collection of a debt related to a fashion purchase, despite your requests to communicate with them. You've mentioned that you've asked multiple times for them to stop contacting you and have even contacted an attorney in an effort to resolve the matter. Unfortunately, it appears that the issue has escalated further as a lawsuit has been filed. Our support team will review this situation internally to determine if any of our policies or procedures may have been involved in this escalation. We will also investigate whether there are any steps we can take to assist you in addressing this debt collection activity."
hello asking reinvestigate account mine previously informed number account reported credit report mine writing request delete know came thus requesting please verify validity account remove confirmed mine,credit_reporting,"We have received your request to reinvestigate the status of your account and its impact on your credit report. You had previously contacted us regarding a discrepancy with your account information, which was reported to the credit reporting agencies. We understand that you are concerned about the validity of this information and would like it verified. Our team will review the matter internally, including any previous communication related to this issue, to determine the accuracy of the account information reported to the credit bureaus. We will investigate further to ensure that your account is accurately represented on your credit report."
never done type business account error fcra need removed middle closing new home error holding new home purchase attached copy id s request new updated credit report,credit_reporting,"We have received your complaint regarding an error on your credit report related to a business account that was closed, which is affecting your ability to obtain a new home loan. You mentioned that the error is listed as FCRA and has been holding up your new home purchase. We will review this issue internally and investigate why the incorrect information remains on your credit report despite the account being closed. Our team will also look into removing the middle closing notation and ensure that your updated credit report reflects accurate information."
feel account adversely affecting credit report costing thousand dollar interest every need problem fixed asap wait another day receive response clearly yall disregarding still heard back transunion,credit_reporting,"We understand that your credit reporting account is having a negative impact on your credit score, resulting in estimated costs of over $1,000 in interest. You've expressed concern about the urgency of resolving this issue and have mentioned not receiving a response from us within a reasonable timeframe. We take these matters seriously and will review your case internally to investigate why TransUnion has reported inaccurately. Our team will look into the discrepancies affecting your credit report and work towards rectifying the situation as quickly as possible."
victim identity theft fraud idea inquiry never opened inquiry never gave permission company unknown item report big mistake please review remove credit report soon possible please investigate,credit_reporting,"We are reviewing your complaint regarding an alleged instance of identity theft and unauthorized use of your credit information. According to your message, you claim that a company or institution has reported incorrect information about you without your consent, resulting in a negative impact on your credit report. We will investigate this matter internally by verifying the accuracy of the information provided to us and checking our records for any discrepancies. Our team will also review the procedures followed by the unknown entity that submitted the report to ensure compliance with industry standards and regulations."
submitted written request information website maintained servicer mortgage loan dovenmuehle mortgage dm business day ago inquiry qualified written request consistently generally poor customer service dm responded inquiry,mortgages_and_loans,"We've received your complaint regarding the response to a Qualified Written Request (QWR) submitted to Dovenmuehle Mortgage, the servicer of your mortgage loan. You mentioned that you experienced poor customer service and were not satisfied with the handling of your inquiry. Our team will review this matter internally to ensure that all applicable regulations, such as the Real Estate Settlement Procedures Act (RESPA), have been followed. We will investigate the delay in response to your QWR and the overall quality of service provided by Dovenmuehle Mortgage."
lease toyota motor account opened duration lease made payment time reached toyota request status account due bureau reporting responded saying ever late account see attached mention issue,mortgages_and_loans,"I understand that you have an issue with your Toyota Motor lease account, which was opened for a specific duration and has been subject to payments. You mentioned that the payment period was reached and Toyota requested a status update on your account. The Bureau responded by saying you were late with payments, but you dispute this claim. I will review the documentation attached to your complaint internally to investigate further and clarify the status of your account. Our team will also look into the communication between Toyota and the Bureau regarding your account's payment history and any potential discrepancies in reporting."
continues report charge credit bureau excess disputed bureau company phone writing account taken online proof copy driver license signature take account done get situation corrected please help,credit_reporting,"We've received your concern regarding an excessive charge from a credit reporting company for continuing reports on your account. You mentioned that you had disputed the charges with the bureau, but they were still being processed and you're concerned about the impact on your account. Our team will review this situation internally to determine why the charges continued despite your dispute. We'll also investigate why you weren't provided a copy of the proof required for the reports, such as a driver's license signature, which was requested online. Once we've completed our investigation, we'll work with the credit reporting company to get the situation corrected and ensure that any unnecessary charges are removed from your account."
date disputed charge inaccurate obsolete affecting credit score charge disputed credit bureau false charge listed disputed item franklin collection service address m allege amount owed knowledge account,debt_collection,"I've reviewed the details of your complaint regarding a disputed charge. You're alleging that an outdated and inaccurate charge has been reported to the credit bureaus, which is negatively affecting your credit score. Specifically, you mentioned that Franklin Collection Service listed a false charge on your account, and you dispute the amount owed. Our support team will review this matter internally, verifying the accuracy of the disputed charge and investigating why it was not removed from your account despite being obsolete. We'll also look into the communication with the credit bureaus to ensure that any incorrect information has been corrected."
noticed reported charge three major credit bureau day per fdic statement policy loan past due cumulative day contractual due date classified substandard balance paid account reported charge,credit_reporting,"I'm reviewing your complaint about a reported charge on your credit report. You mentioned that the issue involves a loan with a past-due balance, which was classified as substandard and reported to three major credit bureaus. According to your fdic statement, this occurred despite the contractual due date having passed. Our team will investigate this matter internally to determine if the reporting process followed our policy guidelines. We'll review the circumstances surrounding the loan's status on the day it was reported to ensure compliance with our procedures and applicable regulations."
early warning service llc az attn consumer relation mn dear credit early earning service fraud account opened account routing second fraud consumer id account routing fruad email,credit_reporting,"We've received your complaint regarding an issue with Early Warning Service LLC's credit reporting, specifically related to a potential fraudulent account that was opened in Arizona using a Consumer ID and routing number. You mentioned receiving an email about this account, which you believe is not legitimate. Our team will review the details of this incident internally, including verifying the account information and investigating any possible security breaches or unauthorized access to your credit report. We'll also look into why you received an email related to this account and what steps can be taken to prevent similar incidents in the future."
